artist_name,show_date,venue_name,city_name,state_code,country_name,source,collected_at,show_date_parsed,show_id,venue_id
BLACKPINK,2025-07-12,SoFi Stadium,Los Angeles,CA,United States,official,2025-10-23T17:13:14.880862,2025-07-12,real_blackpink_20250712,real_sofi_stadium
BLACKPINK,2025-07-13,SoFi Stadium,Los Angeles,CA,United States,official,2025-10-23T17:13:14.880862,2025-07-13,real_blackpink_20250713,real_sofi_stadium
BLACKPINK,2025-07-18,Soldier Field,Chicago,IL,United States,official,2025-10-23T17:13:14.880862,2025-07-18,real_blackpink_20250718,real_soldier_field
BLACKPINK,2025-07-26,Citi Field,New York,NY,United States,official,2025-10-23T17:13:14.880862,2025-07-26,real_blackpink_20250726,real_citi_field
BLACKPINK,2025-07-27,Citi Field,New York,NY,United States,official,2025-10-23T17:13:14.880862,2025-07-27,real_blackpink_20250727,real_citi_field
Coldplay,2025-09-12,MetLife Stadium,East Rutherford,NJ,United States,official,2025-10-23T17:13:14.880862,2025-09-12,real_coldplay_20250912,real_metlife_stadium
Metallica,2025-11-15,Madison Square Garden,New York,NY,United States,official,2025-10-23T17:13:14.880862,2025-11-15,real_metallica_20251115,real_madison_square_garden
Metallica,2025-11-16,Madison Square Garden,New York,NY,United States,official,2025-10-23T17:13:14.880862,2025-11-16,real_metallica_20251116,real_madison_square_garden
Metallica,2025-11-22,TD Garden,Boston,MA,United States,official,2025-10-23T17:13:14.880862,2025-11-22,real_metallica_20251122,real_td_garden
Metallica,2025-11-23,TD Garden,Boston,MA,United States,official,2025-10-23T17:13:14.880862,2025-11-23,real_metallica_20251123,real_td_garden
Metallica,2025-12-06,Crypto.com Arena,Los Angeles,CA,United States,official,2025-10-23T17:13:14.880862,2025-12-06,real_metallica_20251206,real_crypto.com_arena
Metallica,2025-12-07,Crypto.com Arena,Los Angeles,CA,United States,official,2025-10-23T17:13:14.880862,2025-12-07,real_metallica_20251207,real_crypto.com_arena
Metallica,2025-12-13,United Center,Chicago,IL,United States,official,2025-10-23T17:13:14.880862,2025-12-13,real_metallica_20251213,real_united_center
Metallica,2025-12-14,United Center,Chicago,IL,United States,official,2025-10-23T17:13:14.880862,2025-12-14,real_metallica_20251214,real_united_center
Metallica,2026-01-10,American Airlines Center,Dallas,TX,United States,official,2025-10-23T17:13:14.880862,2026-01-10,real_metallica_20260110,real_american_airlines_center
Metallica,2026-01-11,American Airlines Center,Dallas,TX,United States,official,2025-10-23T17:13:14.880862,2026-01-11,real_metallica_20260111,real_american_airlines_center
Metallica,2026-01-17,Toyota Center,Houston,TX,United States,official,2025-10-23T17:13:14.880862,2026-01-17,real_metallica_20260117,real_toyota_center
Metallica,2026-01-18,Toyota Center,Houston,TX,United States,official,2025-10-23T17:13:14.880862,2026-01-18,real_metallica_20260118,real_toyota_center
Metallica,2026-01-24,Amway Center,Orlando,FL,United States,official,2025-10-23T17:13:14.880862,2026-01-24,real_metallica_20260124,real_amway_center
Metallica,2026-01-25,Amway Center,Orlando,FL,United States,official,2025-10-23T17:13:14.880862,2026-01-25,real_metallica_20260125,real_amway_center
Metallica,2026-01-31,State Farm Arena,Atlanta,GA,United States,official,2025-10-23T17:13:14.880862,2026-01-31,real_metallica_20260131,real_state_farm_arena
Metallica,2026-02-01,State Farm Arena,Atlanta,GA,United States,official,2025-10-23T17:13:14.880862,2026-02-01,real_metallica_20260201,real_state_farm_arena
Metallica,2026-02-07,Capital One Arena,Washington,DC,United States,official,2025-10-23T17:13:14.880862,2026-02-07,real_metallica_20260207,real_capital_one_arena
Metallica,2026-02-08,Capital One Arena,Washington,DC,United States,official,2025-10-23T17:13:14.880862,2026-02-08,real_metallica_20260208,real_capital_one_arena
Metallica,2026-02-14,Wells Fargo Center,Philadelphia,PA,United States,official,2025-10-23T17:13:14.880862,2026-02-14,real_metallica_20260214,real_wells_fargo_center
Metallica,2026-02-15,Wells Fargo Center,Philadelphia,PA,United States,official,2025-10-23T17:13:14.880862,2026-02-15,real_metallica_20260215,real_wells_fargo_center
